<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[44, 0.38461538461538464, 0.3817427385892116, 40, 'tournament_selection', 'crossover_weight', 0.9320884791531826, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.0907774991746275, 0.017445141693189697, 9063.155305705157],2.2315808324199744
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[45, 0.38461538461538464, 0.3817427385892116, 40, 'tournament_selection', 'crossover_weight', 0.928475366624538, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.1030594830898441, -0.012070356445668132, 9693.5667420295],2.2457198003814662
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[46, 0.4002079002079002, 0.3900414937759336, 40, 'tournament_selection', 'crossover_weight', 0.9276216909466735, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.1063663941627297, 0.006270807409217219, 8602.086298980645],2.274614812272546
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[47, 0.40436590436590436, 0.38589211618257263, 40, 'tournament_selection', 'crossover_weight', 0.924824657856675, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.1175697032581424, -0.015275756673463845, 8344.200528828576],2.2976308175241953
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[48, 0.40436590436590436, 0.38589211618257263, 40, 'tournament_selection', 'crossover_weight', 0.9253832709831715, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.1150549088564667, 0.005170589542628862, 7499.2484571478635],2.322609971795933
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[49, 0.4074844074844075, 0.36929460580912865, 40, 'tournament_selection', 'crossover_weight', 0.9256202135244455, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.114014050316448, 0.0048066131823042806, 7667.999166672552],2.339308811447289
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[50, 0.4074844074844075, 0.36929460580912865, 40, 'tournament_selection', 'crossover_weight', 0.9251890355582624, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.1158888914923675, -0.006242469691757582, 7739.576829387596],2.352667370101651
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[51, 0.4074844074844075, 0.36929460580912865, 40, 'tournament_selection', 'crossover_weight', 0.9273430116596508, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.1063466523759877, 0.002281479698469053, 7609.322840940981],2.362662615690661
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[52, 0.4074844074844075, 0.36929460580912865, 40, 'tournament_selection', 'crossover_weight', 0.9287552705275779, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.100632403008479, 0.00484914635782872, 8260.014667121653],2.3814238486049764
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[53, 0.4126819126819127, 0.37344398340248963, 40, 'tournament_selection', 'crossover_weight', 0.9296944081414374, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.0970377740248756, 0.006100065434181297, 8686.642103340178],2.3968383725359512
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[54, 0.4158004158004158, 0.3817427385892116, 40, 'tournament_selection', 'crossover_weight', 0.9304936568427257, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.0940850092754413, -0.009547144145819048, 8970.344958076294],2.417677224985375
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[55, 0.4189189189189189, 0.3775933609958506, 40, 'tournament_selection', 'crossover_weight', 0.9289228999881477, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.099720743738756, 0.007873009896605897, 9211.788953986248],2.42781699884486
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[56, 0.4189189189189189, 0.3775933609958506, 40, 'tournament_selection', 'crossover_weight', 0.9275418190728624, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.104971957593326, 0.04859727603386792, 8737.281068066655],2.449911893159813
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[57, 0.41995841995842, 0.35684647302904565, 40, 'tournament_selection', 'crossover_weight', 0.9284755693955881, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.1012257710423357, -0.01881743485571198, 8320.072138825946],2.4708050779477793
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[58, 0.4261954261954262, 0.38589211618257263, 40, 'tournament_selection', 'crossover_weight', 0.9308696555057536, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.091967205266238, -0.02411623005327372, 8602.147553822222],2.4813866857798943
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[59, 0.4261954261954262, 0.3775933609958506, 40, 'tournament_selection', 'crossover_weight', 0.9252501365867745, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.1118454004335108, 0.024207764834039497, 9325.373898837524],2.5025818108777815
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[60, 0.4313929313929314, 0.4066390041493776, 40, 'tournament_selection', 'crossover_weight', 0.9247426156582531, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.11408017967148, 0.02220700125856573, 7627.780770812332],2.544250532582614
