<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[40, 0.3711018711018711, 0.37344398340248963, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.18485879105211697, 1.01, -0.00581987657444329, 9936.846886124016],2.175022935255624
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[41, 0.3711018711018711, 0.37344398340248963, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.18670737896263814, 1.01, 0.009472769901679872, 10158.398478886646],2.1925725367279107
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[42, 0.3711018711018711, 0.37344398340248963, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.18857445275226453, 1.01, -0.005092395949388352, 10429.39962873728],2.2065026763771107
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[43, 0.3711018711018711, 0.37344398340248963, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.1904601972797872, 1.01, 0.005665413410893702, 10177.327315138375],2.21834948479453
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[44, 0.3711018711018711, 0.37344398340248963, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.19236479925258507, 1.01, -0.0020329695556514163, 9839.931833269877],2.238807755575974
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[45, 0.3711018711018711, 0.37344398340248963, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.1942884472451109, 1.01, 0.0020989786795216833, 10405.56248095413],2.259200616922467
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[46, 0.3711018711018711, 0.37344398340248963, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.19623133171756202, 1.01, 0.0021787066337456626, 10118.066439289818],2.2567026572100404
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[47, 0.3711018711018711, 0.37344398340248963, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.19819364503473763, 1.01, 0.0172803863570919, 10355.868213746358],2.279026664699755
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[48, 0.3711018711018711, 0.37344398340248963, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.20017558148508502, 1.01, -0.020637644627811, 9365.76081693082],2.286959077460349
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[49, 0.3804573804573805, 0.3941908713692946, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.20217733729993587, 1.01, -0.0009418212984242322, 9235.384248228745],2.2896414291848823
