<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[38, 0.35550935550935553, 0.36929460580912865, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, -0.008007711736944853, 7513.899937525921],1.6717662185032374
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[39, 0.35550935550935553, 0.36929460580912865, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, 0.0019522246699176724, 8131.062675975883],1.6886249340320998
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[40, 0.35550935550935553, 0.36929460580912865, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, 0.004984714215769105, 8012.729922092553],1.6900264648546803
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[41, 0.35550935550935553, 0.36929460580912865, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, -0.004349486107083245, 7972.948424423007],1.6971541500565415
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[42, 0.35550935550935553, 0.36929460580912865, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, -0.01069709722120623, 6695.990421370992],1.6797185735122362
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[43, 0.3887733887733888, 0.3983402489626556, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, 0.012985580151544399, 6015.186802950191],1.6842260753279046
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[44, 0.3887733887733888, 0.3983402489626556, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, -0.01109967541420067, 5940.396865217159],1.6814465392026512
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[45, 0.3887733887733888, 0.3983402489626556, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, 0.006489645157912408, 6702.8554099801],1.6954180777203223
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[46, 0.3887733887733888, 0.3983402489626556, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, -0.018472097787360572, 7783.432720536774],1.7092691824980941
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[47, 0.3887733887733888, 0.3983402489626556, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, 0.008484061215907918, 8380.312575845512],1.724538054407552
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[48, 0.3887733887733888, 0.3983402489626556, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, 0.023550682461150073, 8089.679201515122],1.7264641668960143
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[49, 0.3887733887733888, 0.3983402489626556, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, -0.01850834927267181, 8762.102245569213],1.751628215081274
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[50, 0.3887733887733888, 0.3983402489626556, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, -0.0030883900622006924, 7940.905228194034],1.7380940393089475
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[51, 0.3887733887733888, 0.3983402489626556, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, 0.0032058877762970867, 8774.880228326618],1.7535808891786755
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[52, 0.3887733887733888, 0.3983402489626556, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, 0.0008864014582579197, 9007.900306419784],1.7584349451739205
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[53, 0.3887733887733888, 0.3983402489626556, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, -0.00036680431174785505, 7794.8697822931545],1.7280077468443553
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[54, 0.3887733887733888, 0.3983402489626556, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, -0.0017659282973115226, 7404.74316694305],1.732018303180961
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[55, 0.3887733887733888, 0.3983402489626556, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, -0.0009308665924004783, 7801.868887219184],1.743962489417414
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[56, 0.3887733887733888, 0.3983402489626556, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, 0.002386484434847104, 7535.269338775628],1.733387785995337
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[57, 0.3887733887733888, 0.3983402489626556, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, 0.0030546592779964535, 7934.297376893113],1.7493839109120695
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[58, 0.3887733887733888, 0.3983402489626556, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, 0.00019084915423601967, 7902.893124142039],1.750812229987988
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[59, 0.3887733887733888, 0.3983402489626556, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, -0.0053843683667244915, 7999.820903660765],1.7408185938747482
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[60, 0.3887733887733888, 0.3983402489626556, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, 0.009395306905453912, 7460.96324142831],1.7248869455356106
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[61, 0.3887733887733888, 0.3983402489626556, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, -0.0010408867636713115, 7253.289735404224],1.7301944583332365
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[62, 0.3887733887733888, 0.3983402489626556, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, -0.008000670853711533, 7066.422287026953],1.734655603176217
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[63, 0.3887733887733888, 0.3983402489626556, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, 0.011211488420357893, 6826.580249626226],1.7362391896102902
