<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[52, 0.3783783783783784, 0.3112033195020747, 40, 'tournament_selection', 'crossover_weight', 0.9301320952931884, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.093414396350012, 0.0004125313101395328, 8616.21406822658],2.3877459768545037
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[53, 0.3783783783783784, 0.3112033195020747, 40, 'tournament_selection', 'crossover_weight', 0.9324079944945737, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.085155757422905, 0.040383386217483205, 9082.387880163746],2.4107464480015954
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[54, 0.3783783783783784, 0.33195020746887965, 40, 'tournament_selection', 'crossover_weight', 0.9288880356336857, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.0969420579433644, -0.015907416440874456, 9768.387281201398],2.420584503113493
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[55, 0.3783783783783784, 0.3278008298755187, 40, 'tournament_selection', 'crossover_weight', 0.9302636829627802, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.0917184233864283, -0.026288796030359912, 8707.404585317274],2.443127301910747
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[56, 0.3970893970893971, 0.36099585062240663, 40, 'tournament_selection', 'crossover_weight', 0.9295221980807495, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.0943932224430104, -0.016572483317660404, 9122.050912019027],2.4586878888323382
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[57, 0.3970893970893971, 0.34439834024896265, 40, 'tournament_selection', 'crossover_weight', 0.9301187020719737, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.092181971358757, 0.0174887523350774, 8898.553234862708],2.4795184206184553
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[58, 0.40540540540540543, 0.36099585062240663, 40, 'tournament_selection', 'crossover_weight', 0.9310214503169124, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.0889083729299744, -0.015395336149869307, 9078.3509079966],2.4917934458027187
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[59, 0.40540540540540543, 0.36099585062240663, 40, 'tournament_selection', 'crossover_weight', 0.92936066217737, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.0947380362511139, 0.018394897262819454, 9350.456436632845],2.515793230567308
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[60, 0.42203742203742206, 0.3817427385892116, 40, 'tournament_selection', 'crossover_weight', 0.9270511406306411, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.103349289864782, -0.05023538255807572, 8849.8632344897],2.530022211037446
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[61, 0.42203742203742206, 0.3817427385892116, 40, 'tournament_selection', 'crossover_weight', 0.9252877745335171, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.1105416251440923, 0.05444395638676558, 8153.7294176777705],2.5438468839273383
