<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[38, 0.3918918918918919, 0.3817427385892116, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.18121634256652974, 1.01, -0.007006460185590813, 8152.071243846311],2.138473350450813
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[39, 0.3918918918918919, 0.3817427385892116, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.18302850599219503, 1.01, 0.008002228420145974, 7418.1562546905025],2.1645337987282804
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[40, 0.39501039501039503, 0.37344398340248963, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.18485879105211697, 1.01, 0.004632313696014544, 8044.917289213013],2.1711817318626023
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[41, 0.4022869022869023, 0.36929460580912865, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.18670737896263814, 1.01, -0.004366692165485207, 8065.641581131754],2.1860249771478744
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[42, 0.4022869022869023, 0.36929460580912865, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.18857445275226453, 1.01, -0.005768636611165789, 7582.297445041703],2.2000826541038037
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[43, 0.41683991683991684, 0.38589211618257263, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.1904601972797872, 1.01, 0.009174028016131226, 7856.296727559021],2.2145878108757473
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[44, 0.41683991683991684, 0.38589211618257263, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.19236479925258507, 1.01, -0.0076312615879094645, 7052.445968059057],2.2243747183657665
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[45, 0.4178794178794179, 0.4024896265560166, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.1942884472451109, 1.01, 6.528212531935196e-05, 6727.421827186691],2.2425304710607032
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[46, 0.4178794178794179, 0.38589211618257263, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.19623133171756202, 1.01, 0.031799270966028616, 7022.673870472085],2.2579756012888925
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[47, 0.4178794178794179, 0.38589211618257263, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.19819364503473763, 1.01, -0.030340215853471734, 7867.577672299904],2.2802438380225003
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[48, 0.41995841995842, 0.3651452282157676, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.20017558148508502, 1.01, -0.0034249789112519996, 8526.833473713603],2.2916784356674222
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[49, 0.43451143451143454, 0.4107883817427386, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.20217733729993587, 1.01, 0.0022873582897925127, 8285.96220995738],2.3023355786804505
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[50, 0.43451143451143454, 0.4107883817427386, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.20419911067293522, 1.01, 0.0538254884634756, 8466.81933651847],2.3261518459797847
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[51, 0.4397089397089397, 0.45643153526970953, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.20624110177966457, 1.01, -0.05495950912528668, 7613.624508794381],2.356485380457648
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[52, 0.4397089397089397, 0.45643153526970953, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.2083035127974612, 1.01, -0.0007371838658448981, 7616.753054381857],2.3855413595242605
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[53, 0.4397089397089397, 0.45643153526970953, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.21038654792543582, 1.01, -0.0005641855772644672, 8049.390444368323],2.4067317419363965
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[54, 0.4397089397089397, 0.45643153526970953, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.2124904134046902, 1.01, 0.006302429712362362, 8215.945667871922],2.4301122400710153
