<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[65, 0.4386694386694387, 0.44813278008298757, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, -0.00459649868916881, 7425.546941545373],2.6409472571682966
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[66, 0.4386694386694387, 0.44813278008298757, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, 0.002925308643700386, 7633.757019685958],2.650788099895072
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[67, 0.4386694386694387, 0.44813278008298757, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, -0.0037544551268821336, 7942.074610844438],2.6614360195514073
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[68, 0.4386694386694387, 0.44813278008298757, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, 0.0065771713452886585, 7979.770035564157],2.6691908187172526
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[69, 0.4386694386694387, 0.44813278008298757, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, -0.00982502500682958, 7511.89043542855],2.676050535344907
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[70, 0.4386694386694387, 0.44813278008298757, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, 0.002792168590308508, 7293.857844998489],2.698162501938661
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[71, 0.4386694386694387, 0.44813278008298757, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, 0.01254366736425147, 7023.856359913694],2.7224217290011277
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[72, 0.4386694386694387, 0.44813278008298757, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, -0.011338605484469938, 7266.005867403535],2.736302290664441
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[73, 0.4386694386694387, 0.44813278008298757, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, -0.005533170758042209, 5957.26275919348],2.741969602828271
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[74, 0.4386694386694387, 0.43983402489626555, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, 0.0016644986741599782, 5801.9799294639315],2.7495028336570457
