<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[51, 0.4313929313929314, 0.44398340248962653, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, 0.0018930183978500409, 8482.93054477371],2.3351615863047304
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[52, 0.4313929313929314, 0.44398340248962653, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, -0.034601531299732306, 8209.229382410014],2.349474600173756
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[53, 0.4313929313929314, 0.44398340248962653, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, 0.008753313616522831, 8898.153913118464],2.359774505721742
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[54, 0.4313929313929314, 0.44398340248962653, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, -0.005029438048864125, 8551.020369337693],2.371821151838771
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[55, 0.4313929313929314, 0.44398340248962653, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, -0.0004955777918457735, 8562.704636584624],2.39005227039556
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[56, 0.43555093555093555, 0.44398340248962653, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, 0.0033485840525248126, 8510.238958623788],2.4031861877804515
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[57, 0.44282744282744285, 0.46473029045643155, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, -0.011933932389243472, 7644.657962164921],2.4193725042666543
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[58, 0.44282744282744285, 0.46473029045643155, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, 0.03709647154569402, 7188.39776592108],2.430163130218359
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[59, 0.44282744282744285, 0.46473029045643155, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, -0.033345574710530755, 7831.790854158275],2.441652376186763
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[60, 0.44282744282744285, 0.46473029045643155, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, 0.031075676202900034, 7800.425245065717],2.454640109517575
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[61, 0.44386694386694386, 0.42738589211618255, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, -0.025749209998722537, 7736.4843629364],2.46363892766607
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[62, 0.44386694386694386, 0.42738589211618255, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, -0.0065371801546575264, 7596.887521075789],2.479114478784248
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[63, 0.44386694386694386, 0.42738589211618255, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, -0.0008796077433301658, 6918.158334415556],2.491271870879755
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[64, 0.4521829521829522, 0.48132780082987553, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, 0.03856672983188381, 7585.412354855394],2.5123850268506986
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[65, 0.4521829521829522, 0.48132780082987553, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, -0.020049792455842846, 7974.375561219746],2.5170343556436423
